id,nama,kategori,parameter,rentang_saat_ini,sumber(buku/jurnal/FAO EcoCrop),halaman_atau_URL,status(lit/est)
81,"Teh (Pot)","Rempah","Kalium (mg/kg)","140 - 330",,,est
82,"Basil Genovese","Rempah","pH","5.8 - 7",,,est
82,"Basil Genovese","Rempah","Suhu (°C)","18 - 30",,,est
82,"Basil Genovese","Rempah","Kelembaban (%)","45 - 72",,,est
82,"Basil Genovese","Rempah","EC (µS/cm)","700 - 1900",,,est
82,"Basil Genovese","Rempah","Nitrogen (mg/kg)","80 - 220",,,est
82,"Basil Genovese","Rempah","Fosfor (mg/kg)","30 - 90",,,est
82,"Basil Genovese","Rempah","Kalium (mg/kg)","130 - 300",,,est
83,"Thyme","Rempah","pH","5.5 - 7",,,est
83,"Thyme","Rempah","Suhu (°C)","15 - 28",,,est
83,"Thyme","Rempah","Kelembaban (%)","30 - 58",,,est
83,"Thyme","Rempah","EC (µS/cm)","600 - 1700",,,est
83,"Thyme","Rempah","Nitrogen (mg/kg)","65 - 180",,,est
83,"Thyme","Rempah","Fosfor (mg/kg)","28 - 80",,,est
83,"Thyme","Rempah","Kalium (mg/kg)","120 - 290",,,est
84,"Sage","Rempah","pH","5.8 - 7",,,est
84,"Sage","Rempah","Suhu (°C)","15 - 28",,,est
84,"Sage","Rempah","Kelembaban (%)","32 - 60",,,est
84,"Sage","Rempah","EC (µS/cm)","600 - 1700",,,est
84,"Sage","Rempah","Nitrogen (mg/kg)","65 - 185",,,est
84,"Sage","Rempah","Fosfor (mg/kg)","28 - 80",,,est
84,"Sage","Rempah","Kalium (mg/kg)","120 - 290",,,est
85,"Lavender","Rempah","pH","6 - 8",,,est
85,"Lavender","Rempah","Suhu (°C)","15 - 30",,,est
85,"Lavender","Rempah","Kelembaban (%)","28 - 55",,,est
85,"Lavender","Rempah","EC (µS/cm)","550 - 1600",,,est
85,"Lavender","Rempah","Nitrogen (mg/kg)","55 - 160",,,est
85,"Lavender","Rempah","Fosfor (mg/kg)","25 - 75",,,est
85,"Lavender","Rempah","Kalium (mg/kg)","110 - 280",,,est
86,"Chamomile","Rempah","pH","5.8 - 7.2",,,est
86,"Chamomile","Rempah","Suhu (°C)","15 - 27",,,est
86,"Chamomile","Rempah","Kelembaban (%)","38 - 65",,,est
86,"Chamomile","Rempah","EC (µS/cm)","600 - 1700",,,est
86,"Chamomile","Rempah","Nitrogen (mg/kg)","60 - 175",,,est
86,"Chamomile","Rempah","Fosfor (mg/kg)","25 - 78",,,est
86,"Chamomile","Rempah","Kalium (mg/kg)","110 - 270",,,est
87,"Ketumbar (Cilantro)","Rempah","pH","6 - 7.5",,,est
87,"Ketumbar (Cilantro)","Rempah","Suhu (°C)","15 - 25",,,est
87,"Ketumbar (Cilantro)","Rempah","Kelembaban (%)","40 - 68",,,est
87,"Ketumbar (Cilantro)","Rempah","EC (µS/cm)","650 - 1800",,,est
87,"Ketumbar (Cilantro)","Rempah","Nitrogen (mg/kg)","70 - 195",,,est
87,"Ketumbar (Cilantro)","Rempah","Fosfor (mg/kg)","28 - 82",,,est
87,"Ketumbar (Cilantro)","Rempah","Kalium (mg/kg)","120 - 280",,,est
88,"Dill","Rempah","pH","5.8 - 7",,,est
88,"Dill","Rempah","Suhu (°C)","15 - 25",,,est
88,"Dill","Rempah","Kelembaban (%)","40 - 70",,,est
88,"Dill","Rempah","EC (µS/cm)","650 - 1800",,,est
88,"Dill","Rempah","Nitrogen (mg/kg)","70 - 195",,,est
88,"Dill","Rempah","Fosfor (mg/kg)","28 - 82",,,est
88,"Dill","Rempah","Kalium (mg/kg)","120 - 280",,,est
89,"Adas (Fennel)","Rempah","pH","5.8 - 7.2",,,est
89,"Adas (Fennel)","Rempah","Suhu (°C)","16 - 27",,,est
89,"Adas (Fennel)","Rempah","Kelembaban (%)","40 - 68",,,est
89,"Adas (Fennel)","Rempah","EC (µS/cm)","650 - 1800",,,est
89,"Adas (Fennel)","Rempah","Nitrogen (mg/kg)","70 - 190",,,est
89,"Adas (Fennel)","Rempah","Fosfor (mg/kg)","28 - 80",,,est
89,"Adas (Fennel)","Rempah","Kalium (mg/kg)","125 - 285",,,est
90,"Stevia","Rempah","pH","6 - 7.5",,,est
90,"Stevia","Rempah","Suhu (°C)","18 - 30",,,est
90,"Stevia","Rempah","Kelembaban (%)","45 - 72",,,est
90,"Stevia","Rempah","EC (µS/cm)","650 - 1800",,,est
90,"Stevia","Rempah","Nitrogen (mg/kg)","70 - 190",,,est
90,"Stevia","Rempah","Fosfor (mg/kg)","28 - 82",,,est
90,"Stevia","Rempah","Kalium (mg/kg)","120 - 280",,,est
91,"Pandan","Rempah","pH","5.5 - 7",,,est
91,"Pandan","Rempah","Suhu (°C)","22 - 33",,,est
91,"Pandan","Rempah","Kelembaban (%)","55 - 82",,,est
91,"Pandan","Rempah","EC (µS/cm)","700 - 1900",,,est
91,"Pandan","Rempah","Nitrogen (mg/kg)","80 - 215",,,est
91,"Pandan","Rempah","Fosfor (mg/kg)","30 - 88",,,est
91,"Pandan","Rempah","Kalium (mg/kg)","130 - 300",,,est
92,"Kayu Manis (Pot)","Rempah","pH","5.5 - 6.8",,,est
92,"Kayu Manis (Pot)","Rempah","Suhu (°C)","20 - 30",,,est
92,"Kayu Manis (Pot)","Rempah","Kelembaban (%)","45 - 72",,,est
92,"Kayu Manis (Pot)","Rempah","EC (µS/cm)","700 - 1900",,,est
92,"Kayu Manis (Pot)","Rempah","Nitrogen (mg/kg)","80 - 210",,,est
92,"Kayu Manis (Pot)","Rempah","Fosfor (mg/kg)","30 - 88",,,est
92,"Kayu Manis (Pot)","Rempah","Kalium (mg/kg)","135 - 310",,,est
93,"Rosella","Rempah","pH","5.5 - 7",,,est
93,"Rosella","Rempah","Suhu (°C)","20 - 32",,,est
93,"Rosella","Rempah","Kelembaban (%)","40 - 70",,,est
93,"Rosella","Rempah","EC (µS/cm)","650 - 1850",,,est
93,"Rosella","Rempah","Nitrogen (mg/kg)","70 - 200",,,est
93,"Rosella","Rempah","Fosfor (mg/kg)","28 - 88",,,est
93,"Rosella","Rempah","Kalium (mg/kg)","130 - 310",,,est
94,"Kumis Kucing","Rempah","pH","5.5 - 7",,,est
94,"Kumis Kucing","Rempah","Suhu (°C)","20 - 31",,,est
94,"Kumis Kucing","Rempah","Kelembaban (%)","45 - 72",,,est
94,"Kumis Kucing","Rempah","EC (µS/cm)","650 - 1800",,,est
94,"Kumis Kucing","Rempah","Nitrogen (mg/kg)","70 - 195",,,est
94,"Kumis Kucing","Rempah","Fosfor (mg/kg)","28 - 85",,,est
94,"Kumis Kucing","Rempah","Kalium (mg/kg)","125 - 290",,,est
95,"Sambung Nyawa","Rempah","pH","5.5 - 7",,,est
95,"Sambung Nyawa","Rempah","Suhu (°C)","21 - 32",,,est
95,"Sambung Nyawa","Rempah","Kelembaban (%)","48 - 76",,,est
95,"Sambung Nyawa","Rempah","EC (µS/cm)","680 - 1850",,,est
95,"Sambung Nyawa","Rempah","Nitrogen (mg/kg)","75 - 205",,,est
95,"Sambung Nyawa","Rempah","Fosfor (mg/kg)","28 - 88",,,est
95,"Sambung Nyawa","Rempah","Kalium (mg/kg)","128 - 295",,,est
96,"Salam","Rempah","pH","5.5 - 7",,,est
96,"Salam","Rempah","Suhu (°C)","20 - 32",,,est
96,"Salam","Rempah","Kelembaban (%)","40 - 70",,,est
96,"Salam","Rempah","EC (µS/cm)","700 - 1900",,,est
96,"Salam","Rempah","Nitrogen (mg/kg)","80 - 215",,,est
96,"Salam","Rempah","Fosfor (mg/kg)","30 - 90",,,est
96,"Salam","Rempah","Kalium (mg/kg)","135 - 310",,,est
97,"Sirih","Rempah","pH","5.5 - 7",,,est
97,"Sirih","Rempah","Suhu (°C)","20 - 33",,,est
97,"Sirih","Rempah","Kelembaban (%)","50 - 78",,,est
97,"Sirih","Rempah","EC (µS/cm)","700 - 1900",,,est
97,"Sirih","Rempah","Nitrogen (mg/kg)","75 - 210",,,est
97,"Sirih","Rempah","Fosfor (mg/kg)","28 - 88",,,est
97,"Sirih","Rempah","Kalium (mg/kg)","130 - 300",,,est
98,"Lidah Buat","Rempah","pH","5.5 - 7.5",,,est
98,"Lidah Buat","Rempah","Suhu (°C)","18 - 35",,,est
98,"Lidah Buat","Rempah","Kelembaban (%)","25 - 55",,,est
98,"Lidah Buat","Rempah","EC (µS/cm)","550 - 1600",,,est
98,"Lidah Buat","Rempah","Nitrogen (mg/kg)","50 - 150",,,est
98,"Lidah Buat","Rempah","Fosfor (mg/kg)","22 - 72",,,est
98,"Lidah Buat","Rempah","Kalium (mg/kg)","105 - 265",,,est
99,"Ruku-Ruku (Kemangi Suci)","Rempah","pH","5.5 - 7",,,est
99,"Ruku-Ruku (Kemangi Suci)","Rempah","Suhu (°C)","18 - 31",,,est
99,"Ruku-Ruku (Kemangi Suci)","Rempah","Kelembaban (%)","42 - 70",,,est
99,"Ruku-Ruku (Kemangi Suci)","Rempah","EC (µS/cm)","650 - 1850",,,est
99,"Ruku-Ruku (Kemangi Suci)","Rempah","Nitrogen (mg/kg)","70 - 200",,,est
99,"Ruku-Ruku (Kemangi Suci)","Rempah","Fosfor (mg/kg)","28 - 86",,,est
99,"Ruku-Ruku (Kemangi Suci)","Rempah","Kalium (mg/kg)","125 - 295",,,est
100,"Kenikir","Sayuran","pH","5.5 - 7",,,est
100,"Kenikir","Sayuran","Suhu (°C)","20 - 31",,,est
100,"Kenikir","Sayuran","Kelembaban (%)","45 - 72",,,est
100,"Kenikir","Sayuran","EC (µS/cm)","650 - 1800",,,est
100,"Kenikir","Sayuran","Nitrogen (mg/kg)","70 - 195",,,est
100,"Kenikir","Sayuran","Fosfor (mg/kg)","28 - 85",,,est
100,"Kenikir","Sayuran","Kalium (mg/kg)","125 - 290",,,est
